id,name,titles_count,headquarters,origin_country,homepage,tmdb_url
7132,Nelka Films,8,Paris,FR,http://www.nelkafilms.com,https://www.themoviedb.org/company/7132
7133,Deep Side Production,2,Prague,CZ,http://www.deepside.cz,https://www.themoviedb.org/company/7133
7134,Metaphor Films,1,,,,https://www.themoviedb.org/company/7134
7135,Sun Pictures,22,"Chennai, Tamil Nadu, India",IN,https://www.sunpictures.in/,https://www.themoviedb.org/company/7135
7136,Jayam Company,2,,,,https://www.themoviedb.org/company/7136
7137,SG Films,3,,,,https://www.themoviedb.org/company/7137
7138,Indira Innovations,2,,,,https://www.themoviedb.org/company/7138
7139,Thirupathi Brothers,13,,IN,,https://www.themoviedb.org/company/7139
7140,Lakshmi Movie Makers,19,,IN,,https://www.themoviedb.org/company/7140
7141,Aascar Films,19,"Chennai, Tamil Nadu, India",IN,http://www.aascarfilm.com,https://www.themoviedb.org/company/7141
7142,Eros Worldwide,5,"Mumbai, Maharashtra, India",,http://www.erosnow.com/,https://www.themoviedb.org/company/7142
7143,Ayngaran International,20,"London, England",GB,http://www.ayngaran.com,https://www.themoviedb.org/company/7143
7144,Vivo Film,49,"Rome, Italy",IT,https://vivofilm.it,https://www.themoviedb.org/company/7144
7145,Essential Filmproducktion,0,,,,https://www.themoviedb.org/company/7145
7146,Invisible Film,2,,US,,https://www.themoviedb.org/company/7146
7148,Sara Film,1,,IT,,https://www.themoviedb.org/company/7148
7149,Princes Production,3,Paris,FR,,https://www.themoviedb.org/company/7149
7150,Capitol Records,11,"Los Angeles, California",US,http://capitolrecords.com,https://www.themoviedb.org/company/7150
7151,Assassin Films,5,,GB,,https://www.themoviedb.org/company/7151
7152,Independent Films,13,,,,https://www.themoviedb.org/company/7152
7155,Brand Mason,1,,,,https://www.themoviedb.org/company/7155
7157,Koktebel Film Company,14,,RU,,https://www.themoviedb.org/company/7157
7158,Constantin Film Production,0,,,,https://www.themoviedb.org/company/7158
7159,Star Film,270,,FR,,https://www.themoviedb.org/company/7159
7160,Georg Riha,0,,,,https://www.themoviedb.org/company/7160
7161,LivePlanet,12,,,,https://www.themoviedb.org/company/7161
7162,Neue Sentimental Film,3,,,,https://www.themoviedb.org/company/7162
7164,TMS Entertainment,123,"Nakano, Tokyo",JP,http://www.tms-e.co.jp,https://www.themoviedb.org/company/7164
7165,Professor Productions,1,,US,http://professorproductions.com,https://www.themoviedb.org/company/7165
7167,Ralux Film,1,,,,https://www.themoviedb.org/company/7167
7168,România Film,44,,RO,,https://www.themoviedb.org/company/7168
7169,Park Ex Pictures,4,,,,https://www.themoviedb.org/company/7169
7170,Festival Films,8,,,,https://www.themoviedb.org/company/7170
7171,Laser,6,,,,https://www.themoviedb.org/company/7171
7172,Graymark Productions,4,,,,https://www.themoviedb.org/company/7172
7174,Funny Farm Films,2,,GB,,https://www.themoviedb.org/company/7174
7175,Java Bob Films,1,,,,https://www.themoviedb.org/company/7175
7176,VOF De Grenswetenschap,1,,,,https://www.themoviedb.org/company/7176
7177,Item 7,26,"Montréal, Québec",CA,http://item7.ca/en/,https://www.themoviedb.org/company/7177
7178,Corrino Media Corporation,11,,,,https://www.themoviedb.org/company/7178
7179,FWG Foto Werbe GmbH,1,,,,https://www.themoviedb.org/company/7179
7180,RIHA Filmproduktions GmbH,6,"Tullnerbach-Lawies, Austria",,http://www.rihafilm.com,https://www.themoviedb.org/company/7180
7181,Just Media,6,,US,,https://www.themoviedb.org/company/7181
7182,Ferret Music,2,,,,https://www.themoviedb.org/company/7182
7183,Superhero,1,,,,https://www.themoviedb.org/company/7183
7186,Real Reform Studios,0,,,,https://www.themoviedb.org/company/7186
7187,cultmovie entertainment,0,,,,https://www.themoviedb.org/company/7187
7188,UFO International Productions,42,"Los Angeles, California",US,http://www.ufofilm.com/,https://www.themoviedb.org/company/7188
7189,"RIHA (FWG, Brains & Pictures)",2,,,,https://www.themoviedb.org/company/7189
